start   of      data    file.
siteName: HF-751-01
Probe   serial  Number: 0

Date    Meas#   T1(B)   T2      T3      T4      T5(T)   H
-------------------------------------------------------------------
 3:46:17       1   1.815   1.864   1.882   1.856   1.906   0.000
 3:46:19       2   1.815   1.864   1.882   1.856   1.906   0.000
 3:46:21       3   1.815   1.864   1.882   1.856   1.906   0.000
 3:46:23       4   1.815   1.864   1.882   1.856   1.906   0.000
 3:46:25       5   1.815   1.864   1.882   1.856   1.906   0.000
 3:46:27       6   1.816   1.865   1.883   1.857   1.907   0.000
 3:46:29       7   1.815   1.865   1.882   1.856   1.906   0.000
 3:46:31       8   1.815   1.865   1.882   1.856   1.906   0.000
 3:46:33       9   1.815   1.865   1.882   1.856   1.906   0.000
 3:46:35      10   1.815   1.864   1.882   1.856   1.906   0.000
 3:46:37      11   1.815   1.865   1.882   1.856   1.906   0.000
 3:46:39      12   1.815   1.865   1.882   1.856   1.906   0.000
 3:46:41      13   1.816   1.864   1.883   1.857   1.907   0.000
 3:46:43      14   1.815   1.865   1.882   1.856   1.906   0.000
 3:46:45      15   1.815   1.865   1.882   1.856   1.906   0.000
 3:46:47      16   1.815   1.865   1.882   1.856   1.906   0.000
 3:46:49      17   1.815   1.865   1.882   1.856   1.906   0.000
 3:46:51      18   1.815   1.864   1.882   1.856   1.906   0.000
 3:46:53      19   1.815   1.865   1.882   1.856   1.906   0.000
 3:46:55      20   1.815   1.865   1.882   1.856   1.906   0.000
 3:46:57      21   1.815   1.865   1.882   1.856   1.906   0.000
 3:46:59      22   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:01      23   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:03      24   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:05      25   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:07      26   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:09      27   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:11      28   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:13      29   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:15      30   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:17      31   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:19      32   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:21      33   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:23      34   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:25      35   1.815   1.865   1.882   1.856   1.906   0.000
 3:47:27      36   1.817   1.865   1.883   1.857   1.906   0.000
 3:47:29      37   1.818   1.865   1.883   1.856   1.907   0.000
 3:47:31      38   1.820   1.866   1.884   1.857   1.906   0.000
 3:47:33      39   1.822   1.866   1.884   1.857   1.906   0.000
 3:47:35      40   1.823   1.867   1.884   1.857   1.907   0.000
 3:47:37      41   1.824   1.867   1.884   1.857   1.907   0.000
 3:47:39      42   1.826   1.868   1.884   1.857   1.908   0.000
 3:47:41      43   1.825   1.868   1.883   1.858   1.910   0.000
 3:47:43      44   1.826   1.870   1.884   1.857   1.905   0.000
 3:47:45      45   1.827   1.871   1.884   1.857   1.905   0.000
 3:47:47      46   1.827   1.872   1.884   1.857   1.906   0.000
 3:47:49      47   1.828   1.872   1.884   1.857   1.906   0.000
 3:47:51      48   1.828   1.872   1.885   1.858   1.907   0.000
 3:47:53      49   1.828   1.871   1.884   1.858   1.907   0.000
 3:47:55      50   1.829   1.871   1.885   1.858   1.907   0.000
 3:47:57      51   1.829   1.870   1.885   1.858   1.907   0.000
 3:47:59      52   1.829   1.870   1.885   1.858   1.907   0.000
 3:48:01      53   1.829   1.870   1.885   1.858   1.907   0.000
 3:48:03      54   1.829   1.870   1.885   1.858   1.907   0.000
 3:48:05      55   1.828   1.870   1.885   1.858   1.907   0.000
 3:48:07      56   1.828   1.869   1.885   1.858   1.906   0.000
 3:48:09      57   1.828   1.869   1.885   1.858   1.905   0.000
 3:48:11      58   1.828   1.872   1.885   1.858   1.905   0.000
