start   of      data    file.
siteNameHF-751-03             Edited to fix time AF 131209
Probe   serial  Number:        0

Date    Meas#   T1(B)   T2      T3      T4      T5(T)   H
-------------------------------------------------------------------
06:27:36       1   1.816   1.866   1.881   1.857   1.905   0.000
06:27:38       2   1.816   1.866   1.883   1.858   1.907   0.000
06:27:40       3   1.817   1.866   1.883   1.859   1.909   0.000
06:27:42       4   1.818   1.866   1.883   1.859   1.909   0.000
06:27:44       5   1.820   1.866   1.883   1.858   1.908   0.000
06:27:46       6   1.823   1.867   1.884   1.858   1.908   0.000
06:27:48       7   1.826   1.867   1.884   1.858   1.907   0.000
06:27:50       8   1.827   1.867   1.884   1.858   1.907   0.000
06:27:52       9   1.829   1.867   1.884   1.858   1.907   0.000
06:27:54      10   1.830   1.867   1.883   1.858   1.907   0.000
06:27:56      11   1.830   1.867   1.884   1.858   1.906   0.000
06:27:58      12   1.831   1.870   1.883   1.858   1.909   0.000
06:28:00      13   1.832   1.877   1.883   1.858   1.907   0.000
06:28:02      14   1.832   1.880   1.883   1.857   1.907   0.000
06:28:04      15   1.833   1.883   1.883   1.857   1.906   0.000
06:28:06      16   1.833   1.884   1.884   1.858   1.906   0.000
06:28:08      17   1.834   1.884   1.884   1.858   1.907   0.000
06:28:10      18   1.835   1.884   1.884   1.858   1.907   0.000
06:28:12      19   1.836   1.884   1.884   1.858   1.907   0.000
06:28:14      20   1.836   1.884   1.883   1.858   1.907   0.000
06:28:16      21   1.837   1.884   1.884   1.858   1.907   0.000
06:28:18      22   1.837   1.884   1.884   1.858   1.907   0.000
06:28:20      23   1.838   1.883   1.883   1.858   1.907   0.000
06:28:22      24   1.838   1.882   1.883   1.857   1.906   0.000
06:28:24      25   1.839   1.882   1.883   1.857   1.907   0.000
06:28:26      26   1.838   1.882   1.883   1.858   1.907   0.000
06:28:28      27   1.839   1.881   1.883   1.858   1.907   0.000
06:28:30      28   1.839   1.881   1.883   1.858   1.907   0.000
06:28:32      29   1.839   1.881   1.883   1.858   1.907   0.000
06:28:34      30   1.838   1.880   1.883   1.858   1.907   0.000
06:28:36      31   1.838   1.880   1.883   1.858   1.907   0.000
06:28:38      32   1.838   1.880   1.884   1.858   1.907   0.000
06:28:40      33   1.838   1.880   1.884   1.858   1.907   0.000
06:28:42      34   1.838   1.880   1.884   1.858   1.907   0.000
06:28:44      35   1.837   1.879   1.885   1.858   1.905   0.000
06:28:46      36   1.837   1.881   1.885   1.858   1.905   0.000
06:28:48      37   1.838   1.884   1.884   1.858   1.907   0.000
06:28:50      38   1.838   1.890   1.883   1.858   1.909   0.000
06:28:52      39   1.839   1.895   1.883   1.858   1.909   0.000
06:28:54      40   1.840   1.899   1.883   1.858   1.909   0.000
06:28:56      41   1.841   1.903   1.883   1.858   1.910   0.000
06:28:58      42   1.841   1.906   1.884   1.858   1.908   0.000
06:29:00      43   1.841   1.908   1.884   1.858   1.907   0.000
06:29:02      44   1.842   1.910   1.884   1.858   1.907   0.000
06:29:04      45   1.842   1.912   1.884   1.858   1.907   0.000
06:29:06      46   1.842   1.913   1.883   1.858   1.908   0.000
06:29:08      47   1.842   1.913   1.883   1.858   1.909   0.000
06:29:10      48   1.843   1.912   1.884   1.858   1.908   0.000
06:29:12      49   1.844   1.910   1.884   1.858   1.907   0.000
06:29:14      50   1.845   1.907   1.884   1.858   1.906   0.000
06:29:16      51   1.846   1.905   1.884   1.858   1.906   0.000
06:29:18      52   1.846   1.902   1.884   1.858   1.906   0.000
06:29:20      53   1.846   1.900   1.884   1.858   1.907   0.000
06:29:22      54   1.846   1.897   1.885   1.858   1.905   0.000
06:29:24      55   1.846   1.897   1.886   1.858   1.903   0.000
06:29:26      56   1.849   1.923   1.888   1.859   1.904   0.000
06:29:28      57   1.857   1.956   1.930   1.860   1.906   0.000
06:29:30      58   1.868   1.972   1.946   1.860   1.907   0.000
06:29:32      59   1.880   1.976   1.979   1.859   1.909   0.000
06:29:34      60   1.888   1.978   2.010   1.858   1.909   0.000
06:29:36      61   1.895   1.978   2.045   1.859   1.909   0.000
06:29:38      62   1.899   1.976   2.070   1.861   1.908   0.000
06:29:40      63   1.902   1.975   2.084   1.861   1.908   0.000
06:29:42      64   1.903   1.973   2.095   1.862   1.908   0.000
06:29:44      65   1.903   1.972   2.101   1.862   1.908   0.000
06:29:46      66   1.903   1.970   2.103   1.863   1.907   0.000
06:29:48      67   1.902   1.968   2.102   1.864   1.907   0.000
06:29:50      68   1.900   1.965   2.099   1.864   1.907   0.000
06:29:52      69   1.899   1.963   2.096   1.864   1.907   0.000
06:29:54      70   1.897   1.962   2.091   1.865   1.907   0.000
06:29:56      71   1.895   1.959   2.086   1.865   1.907   0.000
06:29:58      72   1.893   1.957   2.082   1.865   1.907   0.000
06:30:00      73   1.891   1.955   2.076   1.865   1.907   0.000
