start   of      data    file.
siteNameHF-751-04            Edited to fix time AF 131209
Probe   serial  Number:        0

Date    Meas#   T1(B)   T2      T3      T4      T5(T)   H
-------------------------------------------------------------------
07:27:08       1   1.825   1.867   1.884   1.857   1.906   0.000
07:27:10       2   1.825   1.867   1.884   1.857   1.906   0.000
07:27:12       3   1.826   1.868   1.884   1.858   1.907   0.000
07:27:14       4   1.825   1.867   1.884   1.857   1.906   0.000
07:27:16       5   1.825   1.867   1.884   1.857   1.906   0.000
07:27:18       6   1.825   1.867   1.884   1.857   1.906   0.000
07:27:20       7   1.825   1.868   1.884   1.858   1.907   0.000
07:27:22       8   1.825   1.867   1.884   1.857   1.906   0.000
07:27:24       9   1.825   1.867   1.884   1.857   1.907   0.000
07:27:26      10   1.825   1.868   1.884   1.857   1.906   0.000
07:27:28      11   1.826   1.874   1.885   1.857   1.906   0.000
07:27:30      12   1.832   1.878   1.889   1.859   1.906   0.000
07:27:32      13   1.841   1.885   1.901   1.902   1.908   0.000
07:27:34      14   1.857   1.902   1.926   1.917   1.987   0.000
07:27:36      15   1.881   1.924   1.951   1.943   2.001   0.000
07:27:38      16   1.899   1.940   1.962   1.961   2.011   0.000
07:27:40      17   1.918   1.956   1.972   1.978   2.024   0.000
07:27:42      18   1.930   1.968   1.980   1.992   2.036   0.000
07:27:44      19   1.937   1.974   1.983   1.999   2.044   0.000
07:27:46      20   1.942   1.979   1.986   2.004   2.050   0.000
07:27:48      21   1.943   1.981   1.986   2.006   2.054   0.000
07:27:50      22   1.944   1.983   1.986   2.007   2.055   0.000
07:27:52      23   1.943   1.982   1.985   2.006   2.055   0.000
07:27:54      24   1.940   1.981   1.983   2.004   2.055   0.000
07:27:56      25   1.939   1.980   1.981   2.002   2.054   0.000
07:27:58      26   1.936   1.978   1.979   1.999   2.052   0.000
07:28:00      27   1.933   1.975   1.977   1.996   2.050   0.000
07:28:02      28   1.931   1.973   1.975   1.993   2.047   0.000
07:28:04      29   1.928   1.971   1.972   1.989   2.044   0.000
07:28:06      30   1.924   1.968   1.970   1.986   2.041   0.000
07:28:08      31   1.922   1.965   1.968   1.983   2.038   0.000
07:28:10      32   1.919   1.964   1.966   1.980   2.036   0.000
07:28:12      33   1.917   1.961   1.964   1.977   2.033   0.000
07:28:14      34   1.914   1.958   1.962   1.974   2.030   0.000
07:28:16      35   1.912   1.956   1.960   1.971   2.028   0.000
