start   of      data    file.
siteNameHF-751-05   Edited to create HF-05, shorten pen length, reindexed
Probe   serial  Number:        0

Date    Meas#   T1(B)   T2      T3      T4      T5(T)   H
-------------------------------------------------------------------
8:19:48 1 1.8210 1.8660 1.8840 1.8590 1.9070 0.0000
8:19:50 2 1.8270 1.8660 1.8840 1.8590 1.9070 0.0000
8:19:52 3 1.8330 1.8670 1.8840 1.8590 1.9080 0.0000
8:19:54 4 1.8370 1.8680 1.8840 1.8590 1.9080 0.0000
8:19:56 5 1.8400 1.8680 1.8850 1.8590 1.9070 0.0000
8:19:58 6 1.8430 1.8690 1.8850 1.8580 1.9070 0.0000
8:20:00 7 1.8440 1.8690 1.8850 1.8580 1.9070 0.0000
8:20:02 8 1.8450 1.8700 1.8850 1.8580 1.9070 0.0000
8:20:04 9 1.8460 1.8700 1.8850 1.8580 1.9070 0.0000
8:20:06 10 1.8460 1.8710 1.8850 1.8580 1.9060 0.0000
8:20:08 11 1.8460 1.8710 1.8850 1.8580 1.9060 0.0000
8:20:10 12 1.8460 1.8710 1.8850 1.8570 1.9060 0.0000
8:20:12 13 1.8460 1.8710 1.8850 1.8580 1.9060 0.0000
8:20:14 14 1.8460 1.8710 1.8850 1.8580 1.9070 0.0000
8:20:16 15 1.8450 1.8720 1.8850 1.8590 1.9070 0.0000
8:20:18 16 1.8440 1.8720 1.8850 1.8580 1.9070 0.0000
8:20:20 17 1.8440 1.8720 1.8850 1.8580 1.9070 0.0000
8:20:22 18 1.8440 1.8720 1.8850 1.8590 1.9070 0.0000
8:20:24 19 1.8440 1.8720 1.8850 1.8590 1.9070 0.0000
8:20:26 20 1.8430 1.8720 1.8850 1.8580 1.9060 0.0000
8:20:28 21 1.8430 1.8730 1.8850 1.8580 1.9050 0.0000
8:20:30 22 1.8470 1.8760 1.8920 1.8650 1.9070 0.0000
8:20:32 23 1.8630 1.8920 1.9100 1.8980 1.9670 0.0000
8:20:34 24 1.8840 1.9100 1.9330 1.9160 1.9820 0.0000
8:20:36 25 1.9090 1.9330 1.9570 1.9340 1.9890 0.0000
8:20:38 26 1.9290 1.9510 1.9750 1.9480 1.9920 0.0000
8:20:40 27 1.9400 1.9620 1.9850 1.9570 1.9920 0.0000
