start   of      data    file.
siteNameHF-751-06                Edited to fix time AF 131209
Probe   serial  Number:        0

Date    Meas#   T1(B)   T2      T3      T4      T5(T)   H
-------------------------------------------------------------------
09:14:29       1   1.836   1.874   1.884   1.858   1.907   0.000
09:14:31       2   1.836   1.874   1.884   1.858   1.907   0.000
09:14:33       3   1.835   1.873   1.884   1.858   1.907   0.000
09:14:35       4   1.835   1.873   1.884   1.858   1.907   0.000
09:14:37       5   1.834   1.872   1.884   1.858   1.907   0.000
09:14:39       6   1.834   1.872   1.884   1.858   1.907   0.000
09:14:41       7   1.834   1.872   1.884   1.858   1.907   0.000
09:14:43       8   1.834   1.872   1.884   1.858   1.907   0.000
09:14:45       9   1.833   1.871   1.884   1.858   1.906   0.000
09:14:47      10   1.833   1.871   1.884   1.858   1.904   0.000
09:14:49      11   1.834   1.875   1.901   1.858   1.904   0.000
09:14:51      12   1.845   1.892   1.916   1.877   1.924   0.000
09:14:53      13   1.868   1.919   1.947   1.907   1.982   0.000
09:14:55      14   1.900   1.950   1.973   1.932   2.001   0.000
09:14:57      15   1.925   1.970   1.997   1.958   2.016   0.000
09:14:59      16   1.948   1.990   2.015   1.978   2.026   0.000
09:15:01      17   1.964   2.004   2.026   1.989   2.031   0.000
09:15:03      18   1.973   2.011   2.031   1.997   2.034   0.000
09:15:05      19   1.979   2.018   2.035   2.001   2.036   0.000
09:15:07      20   1.982   2.021   2.036   2.004   2.036   0.000
09:15:09      21   1.983   2.022   2.035   2.004   2.035   0.000
09:15:11      22   1.982   2.021   2.034   2.003   2.034   0.000
09:15:13      23   1.980   2.020   2.031   2.001   2.032   0.000
09:15:15      24   1.978   2.019   2.029   1.999   2.031   0.000
09:15:17      25   1.975   2.016   2.026   1.996   2.028   0.000
09:15:19      26   1.971   2.013   2.022   1.993   2.025   0.000
09:15:21      27   1.968   2.010   2.020   1.991   2.024   0.000
09:15:23      28   1.964   2.007   2.016   1.987   2.021   0.000
09:15:25      29   1.961   2.004   2.013   1.984   2.018   0.000
09:15:27      30   1.957   2.000   2.009   1.981   2.016   0.000
09:15:29      31   1.954   1.998   2.007   1.978   2.013   0.000
09:15:31      32   1.951   1.995   2.004   1.975   2.011   0.000
09:15:33      33   1.948   1.991   2.001   1.972   2.008   0.000
09:15:35      34   1.945   1.989   1.998   1.970   2.006   0.000
09:15:37      35   1.942   1.987   1.996   1.967   2.004   0.000
09:15:39      36   1.939   1.984   1.993   1.964   2.002   0.000
09:15:41      37   1.936   1.981   1.991   1.962   2.000   0.000
09:15:43      38   1.934   1.979   1.989   1.960   1.998   0.000
09:15:45      39   1.932   1.976   1.987   1.958   1.996   0.000
09:15:47      40   1.930   1.975   1.985   1.956   1.995   0.000
09:15:49      41   1.928   1.973   1.983   1.954   1.993   0.000
09:15:51      42   1.925   1.970   1.981   1.952   1.991   0.000
09:15:53      43   1.923   1.969   1.979   1.950   1.990   0.000
09:15:55      44   1.922   1.967   1.978   1.948   1.988   0.000
09:15:57      45   1.920   1.965   1.976   1.947   1.987   0.000
09:15:59      46   1.918   1.964   1.974   1.945   1.985   0.000
09:16:01      47   1.917   1.962   1.973   1.944   1.984   0.000
09:16:03      48   1.915   1.960   1.972   1.942   1.983   0.000
09:16:05      49   1.914   1.959   1.970   1.941   1.982   0.000
09:16:07      50   1.913   1.958   1.969   1.939   1.981   0.000
09:16:09      51   1.911   1.956   1.968   1.938   1.980   0.000
09:16:11      52   1.910   1.955   1.967   1.937   1.978   0.000
09:16:13      53   1.909   1.954   1.966   1.936   1.978   0.000
09:16:15      54   1.907   1.953   1.964   1.935   1.976   0.000
09:16:17      55   1.906   1.951   1.963   1.934   1.976   0.000
09:16:19      56   1.906   1.951   1.963   1.933   1.975   0.000
09:16:21      57   1.904   1.950   1.961   1.932   1.974   0.000
09:16:23      58   1.903   1.948   1.960   1.931   1.973   0.000
09:16:25      59   1.902   1.948   1.959   1.930   1.972   0.000
09:16:27      60   1.901   1.947   1.959   1.929   1.971   0.000
09:16:29      61   1.901   1.946   1.958   1.928   1.970   0.000
09:16:31      62   1.900   1.945   1.957   1.927   1.969   0.000
09:16:33      63   1.899   1.944   1.956   1.926   1.969   0.000
09:16:35      64   1.898   1.944   1.956   1.926   1.968   0.000
09:16:37      65   1.897   1.942   1.954   1.925   1.967   0.000
09:16:39      66   1.897   1.942   1.954   1.924   1.967   0.000
09:16:41      67   1.896   1.941   1.953   1.923   1.966   0.000
09:16:43      68   1.896   1.941   1.953   1.922   1.966   0.000
09:16:45      69   1.894   1.940   1.952   1.922   1.965   0.000
09:16:47      70   1.894   1.939   1.951   1.921   1.964   0.000
09:16:49      71   1.893   1.938   1.951   1.920   1.963   0.000
09:16:51      72   1.893   1.938   1.950   1.920   1.963   0.000
09:16:53      73   1.892   1.937   1.950   1.919   1.963   0.000
09:16:55      74   1.891   1.936   1.949   1.919   1.962   0.000
09:16:57      75   1.891   1.936   1.948   1.918   1.961   0.000
09:16:59      76   1.891   1.936   1.948   1.917   1.961   0.000
09:17:01      77   1.890   1.935   1.947   1.917   1.960   0.000
09:17:03      78   1.890   1.935   1.947   1.916   1.960   0.000
09:17:05      79   1.889   1.934   1.947   1.916   1.959   0.000
09:17:07      80   1.888   1.934   1.945   1.916   1.959   0.000
09:17:09      81   1.888   1.933   1.945   1.915   1.959   0.000
09:17:11      82   1.888   1.932   1.945   1.915   1.958   0.000
09:17:13      83   1.887   1.932   1.944   1.914   1.957   0.000
09:17:15      84   1.887   1.932   1.944   1.913   1.957   0.000
09:17:17      85   1.887   1.931   1.944   1.913   1.957   0.000
09:17:19      86   1.886   1.931   1.943   1.913   1.956   0.000
09:17:21      87   1.885   1.931   1.942   1.912   1.956   0.000
09:17:23      88   1.884   1.930   1.942   1.912   1.956   0.000
09:17:25      89   1.885   1.929   1.942   1.912   1.955   0.000
09:17:27      90   1.884   1.929   1.941   1.911   1.955   0.000
09:17:29      91   1.884   1.929   1.941   1.910   1.954   0.000
09:17:31      92   1.884   1.929   1.941   1.910   1.954   0.000
09:17:33      93   1.883   1.928   1.940   1.910   1.954   0.000
09:17:35      94   1.882   1.928   1.940   1.910   1.953   0.000
09:17:37      95   1.882   1.928   1.940   1.909   1.953   0.000
09:17:39      96   1.882   1.927   1.939   1.909   1.953   0.000
09:17:41      97   1.882   1.926   1.939   1.909   1.953   0.000
09:17:43      98   1.882   1.926   1.939   1.908   1.952   0.000
09:17:45      99   1.881   1.926   1.938   1.908   1.951   0.000
09:17:47     100   1.881   1.926   1.938   1.907   1.951   0.000
09:17:49     101   1.880   1.925   1.938   1.907   1.951   0.000
09:17:51     102   1.880   1.925   1.938   1.907   1.951   0.000
09:17:53     103   1.880   1.925   1.937   1.907   1.950   0.000
09:17:55     104   1.879   1.925   1.936   1.906   1.950   0.000
09:17:57     105   1.879   1.924   1.936   1.906   1.950   0.000
09:17:59     106   1.879   1.924   1.936   1.906   1.950   0.000
09:18:01     107   1.879   1.924   1.936   1.906   1.949   0.000
09:18:03     108   1.879   1.923   1.936   1.905   1.949   0.000
09:18:05     109   1.878   1.923   1.935   1.905   1.949   0.000
09:18:07     110   1.878   1.923   1.935   1.904   1.948   0.000
09:18:09     111   1.878   1.922   1.935   1.904   1.948   0.000
09:18:11     112   1.878   1.922   1.935   1.904   1.948   0.000
09:18:13     113   1.878   1.922   1.934   1.904   1.948   0.000
09:18:15     114   1.877   1.922   1.934   1.903   1.947   0.000
09:18:17     115   1.877   1.922   1.934   1.903   1.947   0.000
09:18:19     116   1.877   1.921   1.934   1.903   1.947   0.000
09:18:21     117   1.876   1.921   1.933   1.903   1.947   0.000
09:18:23     118   1.877   1.921   1.934   1.903   1.947   0.000
09:18:25     119   1.876   1.920   1.933   1.902   1.946   0.000
09:18:27     120   1.876   1.920   1.933   1.902   1.946   0.000
09:18:29     121   1.876   1.920   1.932   1.902   1.946   0.000
09:18:31     122   1.875   1.919   1.932   1.901   1.945   0.000
09:18:33     123   1.875   1.919   1.932   1.901   1.945   0.000
09:18:35     124   1.875   1.920   1.932   1.901   1.945   0.000
09:18:37     125   1.875   1.919   1.932   1.901   1.945   0.000
09:18:39     126   1.875   1.919   1.932   1.901   1.945   0.000
09:18:41     127   1.875   1.919   1.931   1.900   1.944   0.000
09:18:43     128   1.874   1.919   1.931   1.900   1.944   0.000
09:18:45     129   1.874   1.919   1.931   1.900   1.944   0.000
09:18:47     130   1.873   1.918   1.931   1.900   1.944   0.000
09:18:49     131   1.874   1.918   1.931   1.900   1.944   0.000
09:18:51     132   1.874   1.918   1.931   1.900   1.944   0.000
09:18:53     133   1.874   1.918   1.931   1.899   1.944   0.000
09:18:55     134   1.874   1.917   1.930   1.899   1.944   0.000
09:18:57     135   1.873   1.917   1.930   1.899   1.943   0.000
09:18:59     136   1.873   1.917   1.929   1.898   1.943   0.000
09:19:01     137   1.873   1.917   1.929   1.898   1.943   0.000
09:19:03     138   1.872   1.917   1.929   1.898   1.942   0.000
09:19:05     139   1.874   1.917   1.929   1.898   1.942   0.000
09:19:07     140   1.872   1.917   1.929   1.898   1.942   0.000
09:19:09     141   1.872   1.916   1.929   1.898   1.942   0.000
09:19:11     142   1.872   1.916   1.929   1.898   1.942   0.000
09:19:13     143   1.872   1.916   1.929   1.897   1.941   0.000
09:19:15     144   1.872   1.916   1.928   1.897   1.941   0.000
09:19:17     145   1.872   1.916   1.928   1.897   1.941   0.000
09:19:19     146   1.871   1.916   1.928   1.897   1.941   0.000
09:19:21     147   1.871   1.916   1.928   1.897   1.941   0.000
09:19:23     148   1.871   1.915   1.928   1.897   1.941   0.000
09:19:25     149   1.871   1.915   1.928   1.897   1.941   0.000
09:19:27     150   1.871   1.915   1.928   1.897   1.941   0.000
09:19:29     151   1.871   1.915   1.928   1.896   1.941   0.000
09:19:31     152   1.871   1.915   1.927   1.896   1.940   0.000
09:19:33     153   1.871   1.915   1.927   1.896   1.940   0.000
09:19:35     154   1.870   1.915   1.927   1.896   1.940   0.000
09:19:37     155   1.870   1.915   1.927   1.896   1.940   0.000
09:19:39     156   1.870   1.915   1.926   1.896   1.939   0.000
09:19:41     157   1.870   1.914   1.926   1.896   1.939   0.000
09:19:43     158   1.870   1.914   1.926   1.896   1.939   0.000
09:19:45     159   1.869   1.914   1.926   1.895   1.939   0.000
09:19:47     160   1.869   1.914   1.926   1.896   1.939   0.000
09:19:49     161   1.869   1.913   1.926   1.895   1.939   0.000
09:19:51     162   1.869   1.913   1.926   1.895   1.939   0.000
09:19:53     163   1.869   1.913   1.926   1.895   1.939   0.000
09:19:55     164   1.869   1.913   1.926   1.894   1.939   0.000
09:19:57     165   1.869   1.913   1.926   1.894   1.939   0.000
09:19:59     166   1.869   1.913   1.926   1.894   1.939   0.000
09:20:01     167   1.869   1.913   1.925   1.894   1.938   0.000
09:20:03     168   1.869   1.913   1.925   1.894   1.938   0.000
09:20:05     169   1.869   1.913   1.925   1.894   1.938   0.000
09:20:07     170   1.868   1.913   1.925   1.894   1.938   0.000
09:20:09     171   1.868   1.913   1.925   1.894   1.938   0.000
09:20:11     172   1.868   1.912   1.925   1.894   1.938   0.000
09:20:13     173   1.868   1.912   1.925   1.894   1.938   0.000
09:20:15     174   1.868   1.912   1.925   1.894   1.938   0.000
09:20:17     175   1.867   1.912   1.924   1.893   1.937   0.000
09:20:19     176   1.868   1.912   1.924   1.893   1.937   0.000
09:20:21     177   1.868   1.912   1.924   1.893   1.938   0.000
09:20:23     178   1.868   1.912   1.924   1.893   1.937   0.000
09:20:25     179   1.868   1.912   1.924   1.893   1.937   0.000
09:20:27     180   1.868   1.912   1.924   1.893   1.937   0.000
09:20:29     181   1.868   1.911   1.924   1.893   1.936   0.000
09:20:31     182   1.867   1.912   1.924   1.893   1.936   0.000
09:20:33     183   1.867   1.912   1.923   1.893   1.936   0.000
09:20:35     184   1.867   1.910   1.923   1.891   1.936   0.000
09:20:37     185   1.867   1.911   1.923   1.893   1.936   0.000
09:20:39     186   1.867   1.911   1.923   1.892   1.936   0.000
09:20:41     187   1.867   1.911   1.923   1.892   1.936   0.000
09:20:43     188   1.866   1.911   1.923   1.892   1.936   0.000
09:20:45     189   1.866   1.911   1.923   1.892   1.936   0.000
09:20:47     190   1.866   1.910   1.923   1.892   1.936   0.000
09:20:49     191   1.866   1.911   1.923   1.892   1.936   0.000
09:20:51     192   1.866   1.910   1.923   1.892   1.936   0.000
09:20:53     193   1.866   1.910   1.923   1.891   1.936   0.000
09:20:55     194   1.866   1.910   1.923   1.891   1.935   0.000
09:20:57     195   1.866   1.910   1.923   1.891   1.935   0.000
09:20:59     196   1.866   1.910   1.922   1.891   1.935   0.000
09:21:01     197   1.866   1.910   1.922   1.891   1.935   0.000
09:21:03     198   1.866   1.910   1.922   1.891   1.935   0.000
09:21:05     199   1.866   1.910   1.922   1.891   1.935   0.000
09:21:07     200   1.866   1.910   1.922   1.891   1.935   0.000
09:21:09     201   1.866   1.910   1.922   1.891   1.935   0.000
09:21:11     202   1.865   1.910   1.922   1.891   1.935   0.000
09:21:13     203   1.866   1.910   1.922   1.891   1.935   0.000
09:21:15     204   1.865   1.909   1.921   1.890   1.935   0.000
09:21:17     205   1.865   1.909   1.922   1.890   1.935   0.000
09:21:19     206   1.865   1.909   1.922   1.890   1.934   0.000
09:21:21     207   1.865   1.909   1.922   1.890   1.934   0.000
09:21:23     208   1.865   1.909   1.922   1.890   1.934   0.000
09:21:25     209   1.865   1.909   1.921   1.890   1.934   0.000
09:21:27     210   1.865   1.909   1.921   1.890   1.934   0.000
09:21:29     211   1.865   1.909   1.921   1.890   1.934   0.000
09:21:31     212   1.865   1.909   1.921   1.890   1.934   0.000
09:21:33     213   1.865   1.909   1.921   1.890   1.934   0.000
09:21:35     214   1.865   1.909   1.921   1.890   1.934   0.000
09:21:37     215   1.865   1.909   1.921   1.890   1.934   0.000
09:21:39     216   1.865   1.909   1.921   1.890   1.934   0.000
09:21:41     217   1.864   1.909   1.921   1.890   1.934   0.000
09:21:43     218   1.865   1.909   1.921   1.890   1.934   0.000
09:21:45     219   1.865   1.909   1.920   1.889   1.934   0.000
09:21:47     220   1.865   1.908   1.920   1.890   1.934   0.000
09:21:49     221   1.865   1.908   1.920   1.890   1.934   0.000
09:21:51     222   1.864   1.908   1.920   1.889   1.933   0.000
