start of data file.
siteName: HF-751-12B
Probe serial Number: 0

Date    Meas#    T1(B)       T2       T3       T4    T5(T)        H
-------------------------------------------------------------------
03:01:29    1  001.809  001.858  001.876  001.849  001.899  000.000
03:01:31    2  001.809  001.859  001.877  001.851  001.900  000.000
03:01:33    3  001.809  001.858  001.876  001.849  001.899  000.000
03:01:35    4  001.809  001.859  001.877  001.851  001.900  000.000
03:01:37    5  001.809  001.858  001.876  001.850  001.899  000.000
03:01:39    6  001.809  001.859  001.877  001.851  001.900  000.000
03:01:41    7  001.809  001.859  001.876  001.850  001.900  000.000
03:01:43    8  001.809  001.858  001.876  001.849  001.899  000.000
03:01:45    9  001.809  001.859  001.881  001.851  001.906  000.000
03:01:47   10  001.815  001.860  001.878  001.853  001.914  000.000
03:01:49   11  001.854  001.880  001.875  001.855  001.914  000.000
03:01:51   12  001.933  001.906  001.876  001.850  001.902  000.000
03:01:53   13  002.012  001.927  001.880  001.846  001.887  000.000
03:01:55   14  002.066  001.934  001.876  001.847  001.888  000.000
03:01:57   15  002.111  001.935  001.877  001.850  001.895  000.000
03:01:59   16  002.124  001.930  001.877  001.850  001.898  000.000
03:02:01   17  002.117  001.925  001.877  001.850  001.898  000.000
03:02:03   18  002.096  001.918  001.877  001.851  001.900  000.000
03:02:05   19  002.066  001.910  001.877  001.851  001.900  000.000
03:02:07   20  002.041  001.903  001.877  001.851  001.900  000.000
03:02:09   21  002.011  001.897  001.877  001.851  001.900  000.000
03:02:11   22  001.983  001.891  001.877  001.851  001.900  000.000
03:02:13   23  001.964  001.887  001.877  001.851  001.900  000.000
03:02:15   24  001.942  001.882  001.877  001.850  001.900  000.000
03:02:17   25  001.922  001.879  001.877  001.851  001.900  000.000
03:02:19   26  001.905  001.875  001.876  001.850  001.900  000.000
03:02:21   27  001.894  001.874  001.877  001.851  001.900  000.000
03:02:23   28  001.880  001.871  001.876  001.849  001.899  000.000
03:02:25   29  001.870  001.870  001.877  001.851  001.900  000.000
03:02:27   30  001.862  001.867  001.876  001.849  001.899  000.000
03:02:29   31  001.855  001.867  001.877  001.851  001.900  000.000
03:02:31   32  001.847  001.865  001.876  001.850  001.899  000.000
03:02:33   33  001.842  001.864  001.877  001.850  001.901  000.000
03:02:35   34  001.838  001.863  001.879  001.853  001.908  000.000
03:02:37   35  001.833  001.862  001.880  001.855  001.912  000.000
03:02:39   36  001.834  001.863  001.876  001.854  001.913  000.000
03:02:41   37  001.884  001.887  001.869  001.853  001.909  000.000
03:02:43   38  001.984  001.930  001.869  001.844  001.886  000.000
03:02:45   39  002.081  001.965  001.871  001.841  001.881  000.000
03:02:47   40  002.142  002.004  001.874  001.849  001.909  000.000
03:02:49   41  002.198  002.032  001.877  001.854  001.914  000.000
03:02:51   42  002.234  002.048  001.881  001.853  001.908  000.000
03:02:53   43  002.255  002.057  001.884  001.852  001.902  000.000
03:02:55   44  002.271  002.063  001.884  001.848  001.893  000.000
03:02:57   45  002.281  002.067  001.884  001.847  001.887  000.000
03:02:59   46  002.283  002.069  001.883  001.845  001.885  000.000
03:03:01   47  002.282  002.071  001.884  001.851  001.908  000.000
03:03:03   48  002.281  002.075  001.887  001.851  001.894  000.000
03:03:05   49  002.282  002.069  001.885  001.848  001.891  000.000
03:03:07   50  002.268  002.053  001.883  001.848  001.893  000.000
03:03:09   51  002.234  002.033  001.883  001.849  001.896  000.000
03:03:11   52  002.198  002.015  001.881  001.850  001.897  000.000
03:03:13   53  002.150  001.993  001.880  001.849  001.898  000.000
03:03:15   54  002.104  001.974  001.879  001.850  001.899  000.000
03:03:17   55  002.062  001.957  001.879  001.850  001.899  000.000
03:03:19   56  002.032  001.946  001.879  001.851  001.900  000.000
03:03:21   57  001.997  001.932  001.878  001.850  001.899  000.000
03:03:23   58  001.967  001.921  001.878  001.851  001.900  000.000
03:03:25   59  001.946  001.912  001.878  001.851  001.900  000.000
03:03:27   60  001.924  001.904  001.878  001.851  001.900  000.000
03:03:29   61  001.905  001.896  001.877  001.850  001.900  000.000
03:03:31   62  001.893  001.892  001.877  001.851  001.900  000.000
03:03:33   63  001.879  001.886  001.877  001.850  001.900  000.000
03:03:35   64  001.867  001.882  001.877  001.850  001.899  000.000
03:03:37   65  001.859  001.879  001.877  001.850  001.900  000.000
03:03:39   66  001.852  001.875  001.877  001.851  001.900  000.000
03:03:41   67  001.844  001.872  001.876  001.850  001.899  000.000
03:03:43   68  001.838  001.871  001.877  001.850  001.899  000.000
03:03:45   69  001.834  001.868  001.877  001.850  001.899  000.000
03:03:47   70  001.831  001.868  001.877  001.851  001.900  000.000
03:03:49   71  001.827  001.866  001.877  001.851  001.900  000.000
03:03:51   72  001.825  001.865  001.877  001.851  001.900  000.000
03:03:53   73  001.822  001.864  001.876  001.850  001.900  000.000
03:03:55   74  001.820  001.864  001.877  001.851  001.900  000.000
03:03:57   75  001.818  001.863  001.876  001.850  001.900  000.000
03:03:59   76  001.817  001.862  001.877  001.851  001.900  000.000
03:04:01   77  001.816  001.861  001.876  001.851  001.900  000.000
03:04:03   78  001.815  001.862  001.877  001.851  001.900  000.000
03:04:05   79  001.814  001.861  001.876  001.851  001.900  000.000
03:04:07   80  001.813  001.861  001.877  001.851  001.900  000.000
03:04:09   81  001.812  001.860  001.876  001.850  001.900  000.000
03:04:11   82  001.813  001.861  001.877  001.851  001.900  000.000
03:04:13   83  001.812  001.860  001.876  001.850  001.900  000.000
03:04:15   84  001.812  001.860  001.877  001.851  001.900  000.000
03:04:17   85  001.811  001.860  001.876  001.850  001.900  000.000
03:04:19   86  001.811  001.860  001.877  001.851  001.900  000.000
03:04:21   87  001.810  001.860  001.876  001.850  001.900  000.000
03:04:23   88  001.811  001.860  001.877  001.851  001.900  000.000
03:04:25   89  001.810  001.860  001.876  001.850  001.900  000.000
03:04:27   90  001.810  001.860  001.877  001.851  001.900  000.000
03:04:29   91  001.810  001.860  001.876  001.850  001.900  000.000
03:04:31   92  001.810  001.860  001.876  001.851  001.900  000.000
03:04:33   93  001.810  001.859  001.876  001.850  001.900  000.000
03:04:35   94  001.810  001.859  001.877  001.852  001.901  000.000
03:04:37   95  001.809  001.859  001.876  001.850  001.899  000.000
03:04:39   96  001.810  001.859  001.877  001.851  001.900  000.000
03:04:41   97  001.809  001.859  001.876  001.850  001.899  000.000
03:04:43   98  001.810  001.859  001.877  001.851  001.900  000.000
03:04:45   99  001.809  001.859  001.876  001.850  001.899  000.000
03:04:47  100  001.809  001.859  001.876  001.850  001.900  000.000
03:04:49  101  001.810  001.859  001.877  001.851  001.900  000.000
03:04:51  102  001.809  001.859  001.876  001.850  001.900  000.000
03:04:53  103  001.809  001.859  001.876  001.850  001.900  000.000
03:04:55  104  001.809  001.859  001.877  001.851  001.900  000.000
03:04:57  105  001.809  001.859  001.876  001.850  001.900  000.000
03:04:59  106  001.809  001.859  001.877  001.851  001.900  000.000
03:05:01  107  001.809  001.859  001.876  001.850  001.900  000.000
03:05:03  108  001.809  001.859  001.876  001.850  001.900  000.000
03:05:05  109  001.809  001.859  001.877  001.851  001.900  000.000
03:05:07  110  001.809  001.859  001.876  001.850  001.900  000.000
03:05:09  111  001.809  001.859  001.876  001.850  001.900  000.000
03:05:11  112  001.809  001.859  001.876  001.850  001.900  000.000
03:05:13  113  001.809  001.859  001.876  001.850  001.900  000.000
03:05:15  114  001.809  001.859  001.876  001.851  001.900  000.000
03:05:17  115  001.809  001.859  001.876  001.850  001.900  000.000
03:05:19  116  001.809  001.859  001.876  001.850  001.900  000.000
03:05:21  117  001.809  001.859  001.877  001.851  001.900  000.000
03:05:23  118  001.809  001.858  001.876  001.850  001.899  000.000
03:05:25  119  001.809  001.859  001.877  001.851  001.900  000.000
03:05:27  120  001.809  001.858  001.876  001.850  001.900  000.000
03:05:29  121  001.809  001.859  001.877  001.851  001.900  000.000
03:05:31  122  001.809  001.858  001.876  001.851  001.900  000.000
