start of data file.
siteName: HF-751-13
Probe serial Number: 0

Date    Meas#    T1(B)       T2       T3       T4    T5(T)        H
-------------------------------------------------------------------
03:59:55    1  001.810  001.860  001.878  001.852  001.902  000.000
03:59:57    2  001.811  001.860  001.879  001.852  001.903  000.000
03:59:59    3  001.810  001.860  001.879  001.853  001.903  000.000
04:00:01    4  001.811  001.860  001.878  001.853  001.903  000.000
04:00:03    5  001.811  001.860  001.878  001.853  001.903  000.000
04:00:05    6  001.811  001.860  001.878  001.853  001.904  000.000
04:00:07    7  001.811  001.859  001.877  001.854  001.901  000.000
04:00:09    8  001.831  001.870  001.910  001.858  001.904  000.000
04:00:11    9  001.917  001.946  001.984  001.908  001.915  000.000
04:00:13   10  002.033  002.029  002.029  001.943  001.918  000.000
04:00:15   11  002.182  002.126  002.075  001.970  001.919  000.000
04:00:17   12  002.307  002.206  002.113  001.989  001.919  000.000
04:00:19   13  002.388  002.259  002.139  002.002  001.918  000.000
04:00:21   14  002.466  002.313  002.164  002.014  001.917  000.000
04:00:23   15  002.523  002.353  002.184  002.023  001.917  000.000
04:00:25   16  002.566  002.384  002.197  002.029  001.917  000.000
04:00:27   17  002.591  002.403  002.210  002.035  001.917  000.000
04:00:29   18  002.615  002.422  002.219  002.040  001.917  000.000
04:00:31   19  002.630  002.435  002.227  002.044  001.917  000.000
04:00:33   20  002.639  002.443  002.231  002.046  001.917  000.000
04:00:35   21  002.646  002.450  002.236  002.048  001.917  000.000
04:00:37   22  002.649  002.454  002.239  002.050  001.917  000.000
04:00:39   23  002.649  002.457  002.241  002.051  001.917  000.000
04:00:41   24  002.649  002.458  002.243  002.052  001.917  000.000
04:00:43   25  002.647  002.458  002.244  002.052  001.917  000.000
04:00:45   26  002.644  002.458  002.244  002.052  001.917  000.000
04:00:47   27  002.641  002.457  002.245  002.053  001.918  000.000
04:00:49   28  002.637  002.455  002.245  002.053  001.918  000.000
04:00:51   29  002.633  002.454  002.245  002.053  001.918  000.000
04:00:53   30  002.628  002.452  002.245  002.053  001.918  000.000
04:00:55   31  002.623  002.449  002.244  002.053  001.918  000.000
04:00:57   32  002.618  002.446  002.244  002.052  001.919  000.000
04:00:59   33  002.614  002.444  002.243  002.052  001.919  000.000
04:01:01   34  002.610  002.442  002.242  002.052  001.920  000.000
04:01:03   35  002.605  002.439  002.242  002.051  001.919  000.000
04:01:05   36  002.601  002.438  002.241  002.050  001.920  000.000
04:01:07   37  002.597  002.435  002.240  002.050  001.920  000.000
04:01:09   38  002.592  002.432  002.239  002.050  001.920  000.000
04:01:11   39  002.589  002.431  002.239  002.050  001.920  000.000
04:01:13   40  002.584  002.428  002.238  002.049  001.920  000.000
04:01:15   41  002.581  002.426  002.238  002.049  001.920  000.000
04:01:17   42  002.578  002.424  002.236  002.048  001.920  000.000
04:01:19   43  002.574  002.422  002.236  002.047  001.920  000.000
04:01:21   44  002.570  002.420  002.235  002.047  001.920  000.000
04:01:23   45  002.568  002.418  002.234  002.047  001.920  000.000
04:01:25   46  002.564  002.416  002.234  002.046  001.920  000.000
04:01:27   47  002.561  002.414  002.233  002.046  001.920  000.000
04:01:29   48  002.558  002.413  002.233  002.046  001.920  000.000
04:01:31   49  002.555  002.411  002.232  002.046  001.920  000.000
04:01:33   50  002.553  002.410  002.232  002.045  001.920  000.000
04:01:35   51  002.550  002.408  002.231  002.045  001.920  000.000
04:01:37   52  002.548  002.406  002.231  002.044  001.920  000.000
04:01:39   53  002.546  002.405  002.230  002.044  001.920  000.000
04:01:41   54  002.543  002.403  002.230  002.044  001.921  000.000
04:01:43   55  002.541  002.402  002.229  002.044  001.921  000.000
04:01:45   56  002.539  002.401  002.228  002.043  001.921  000.000
04:01:47   57  002.536  002.399  002.228  002.043  001.920  000.000
04:01:49   58  002.535  002.399  002.227  002.043  001.921  000.000
04:01:51   59  002.533  002.397  002.227  002.042  001.920  000.000
04:01:53   60  002.531  002.396  002.227  002.043  001.921  000.000
04:01:55   61  002.528  002.395  002.226  002.042  001.921  000.000
04:01:57   62  002.527  002.394  002.226  002.042  001.921  000.000
04:01:59   63  002.525  002.393  002.225  002.041  001.921  000.000
04:02:01   64  002.523  002.391  002.225  002.041  001.921  000.000
04:02:03   65  002.522  002.391  002.225  002.041  001.921  000.000
04:02:05   66  002.520  002.390  002.224  002.041  001.921  000.000
04:02:07   67  002.519  002.389  002.224  002.041  001.921  000.000
04:02:09   68  002.518  002.388  002.224  002.041  001.921  000.000
04:02:11   69  002.517  002.387  002.223  002.040  001.921  000.000
04:02:13   70  002.515  002.386  002.223  002.040  001.921  000.000
04:02:15   71  002.514  002.386  002.222  002.040  001.921  000.000
04:02:17   72  002.512  002.385  002.222  002.040  001.921  000.000
04:02:19   73  002.511  002.384  002.222  002.040  001.921  000.000
04:02:21   74  002.510  002.383  002.221  002.039  001.921  000.000
04:02:23   75  002.509  002.382  002.221  002.039  001.921  000.000
04:02:25   76  002.508  002.381  002.221  002.039  001.921  000.000
04:02:27   77  002.506  002.380  002.221  002.038  001.921  000.000
04:02:29   78  002.505  002.380  002.220  002.038  001.921  000.000
04:02:31   79  002.504  002.379  002.220  002.038  001.921  000.000
04:02:33   80  002.503  002.378  002.219  002.038  001.921  000.000
04:02:35   81  002.502  002.378  002.219  002.038  001.921  000.000
04:02:37   82  002.501  002.377  002.219  002.038  001.921  000.000
04:02:39   83  002.500  002.377  002.219  002.037  001.921  000.000
04:02:41   84  002.499  002.376  002.219  002.037  001.921  000.000
04:02:43   85  002.498  002.375  002.218  002.037  001.921  000.000
04:02:45   86  002.497  002.375  002.218  002.037  001.921  000.000
04:02:47   87  002.496  002.374  002.218  002.037  001.921  000.000
04:02:49   88  002.495  002.374  002.218  002.037  001.922  000.000
04:02:51   89  002.494  002.373  002.217  002.037  001.922  000.000
04:02:53   90  002.493  002.372  002.217  002.037  001.922  000.000
04:02:55   91  002.493  002.372  002.217  002.036  001.922  000.000
04:02:57   92  002.492  002.372  002.216  002.036  001.922  000.000
04:02:59   93  002.491  002.371  002.216  002.036  001.923  000.000
04:03:01   94  002.490  002.370  002.216  002.036  001.923  000.000
04:03:03   95  002.490  002.370  002.216  002.036  001.923  000.000
04:03:05   96  002.488  002.369  002.216  002.036  001.923  000.000
04:03:07   97  002.488  002.369  002.216  002.035  001.923  000.000
04:03:09   98  002.487  002.368  002.215  002.035  001.923  000.000
04:03:11   99  002.487  002.368  002.215  002.035  001.923  000.000
04:03:13  100  002.485  002.367  002.215  002.035  001.923  000.000
04:03:15  101  002.485  002.367  002.215  002.035  001.923  000.000
04:03:17  102  002.484  002.367  002.215  002.035  001.923  000.000
04:03:19  103  002.484  002.366  002.215  002.035  001.923  000.000
04:03:21  104  002.483  002.366  002.214  002.035  001.923  000.000
04:03:23  105  002.482  002.365  002.214  002.035  001.923  000.000
04:03:25  106  002.482  002.365  002.213  002.034  001.923  000.000
04:03:27  107  002.481  002.364  002.213  002.034  001.923  000.000
04:03:29  108  002.481  002.364  002.213  002.034  001.923  000.000
04:03:31  109  002.480  002.364  002.213  002.034  001.923  000.000
04:03:33  110  002.479  002.363  002.213  002.034  001.924  000.000
04:03:35  111  002.479  002.363  002.213  002.034  001.924  000.000
04:03:37  112  002.478  002.363  002.213  002.034  001.924  000.000
04:03:39  113  002.478  002.363  002.213  002.034  001.924  000.000
04:03:41  114  002.477  002.362  002.213  002.034  001.924  000.000
04:03:43  115  002.477  002.361  002.212  002.034  001.924  000.000
04:03:45  116  002.477  002.362  002.213  002.034  001.925  000.000
04:03:47  117  002.476  002.361  002.212  002.034  001.924  000.000
04:03:49  118  002.475  002.361  002.212  002.033  001.924  000.000
04:03:51  119  002.474  002.360  002.212  002.033  001.924  000.000
04:03:53  120  002.475  002.360  002.212  002.033  001.924  000.000
04:03:55  121  002.474  002.360  002.212  002.033  001.924  000.000
04:03:57  122  002.473  002.359  002.211  002.032  001.924  000.000
04:03:59  123  002.473  002.359  002.211  002.032  001.924  000.000
04:04:01  124  002.472  002.358  002.211  002.032  001.925  000.000
04:04:03  125  002.472  002.358  002.211  002.033  001.925  000.000
04:04:05  126  002.471  002.358  002.211  002.032  001.924  000.000
04:04:07  127  002.471  002.358  002.210  002.032  001.924  000.000
04:04:09  128  002.470  002.358  002.210  002.032  001.924  000.000
04:04:11  129  002.470  002.357  002.210  002.032  001.924  000.000
04:04:13  130  002.469  002.357  002.210  002.032  001.924  000.000
04:04:15  131  002.469  002.356  002.210  002.032  001.924  000.000
04:04:17  132  002.469  002.356  002.210  002.032  001.924  000.000
04:04:19  133  002.468  002.356  002.210  002.032  001.924  000.000
04:04:21  134  002.468  002.356  002.210  002.032  001.924  000.000
04:04:23  135  002.468  002.356  002.210  002.032  001.924  000.000
04:04:25  136  002.468  002.356  002.210  002.032  001.924  000.000
04:04:27  137  002.467  002.355  002.210  002.032  001.924  000.000
04:04:29  138  002.467  002.355  002.209  002.032  001.924  000.000
04:04:31  139  002.466  002.355  002.209  002.032  001.924  000.000
04:04:33  140  002.466  002.354  002.209  002.031  001.924  000.000
04:04:35  141  002.465  002.354  002.209  002.032  001.924  000.000
04:04:37  142  002.465  002.354  002.209  002.031  001.924  000.000
04:04:39  143  002.465  002.353  002.208  002.031  001.924  000.000
04:04:41  144  002.464  002.353  002.208  002.031  001.923  000.000
04:04:43  145  002.464  002.353  002.208  002.031  001.923  000.000
04:04:45  146  002.464  002.353  002.208  002.031  001.924  000.000
04:04:47  147  002.463  002.353  002.209  002.031  001.923  000.000
04:04:49  148  002.462  002.352  002.208  002.031  001.924  000.000
04:04:51  149  002.463  002.353  002.208  002.032  001.924  000.000
04:04:53  150  002.462  002.352  002.208  002.031  001.924  000.000
04:04:55  151  002.462  002.352  002.208  002.032  001.924  000.000
04:04:57  152  002.462  002.352  002.208  002.031  001.924  000.000
04:04:59  153  002.462  002.352  002.208  002.031  001.924  000.000
04:05:01  154  002.461  002.351  002.207  002.031  001.924  000.000
04:05:03  155  002.460  002.351  002.207  002.031  001.924  000.000
04:05:05  156  002.461  002.351  002.208  002.031  001.924  000.000
04:05:07  157  002.460  002.351  002.207  002.031  001.924  000.000
04:05:09  158  002.460  002.351  002.208  002.031  001.924  000.000
04:05:11  159  002.460  002.351  002.207  002.030  001.923  000.000
04:05:13  160  002.460  002.350  002.208  002.031  001.924  000.000
04:05:15  161  002.459  002.350  002.207  002.031  001.923  000.000
04:05:17  162  002.459  002.350  002.207  002.031  001.924  000.000
04:05:19  163  002.459  002.349  002.207  002.030  001.923  000.000
04:05:21  164  002.458  002.350  002.207  002.031  001.923  000.000
04:05:23  165  002.458  002.350  002.207  002.031  001.923  000.000
04:05:25  166  002.457  002.349  002.207  002.030  001.923  000.000
04:05:27  167  002.458  002.350  002.207  002.031  001.923  000.000
04:05:29  168  002.457  002.349  002.207  002.030  001.923  000.000
04:05:31  169  002.457  002.349  002.207  002.031  001.923  000.000
04:05:33  170  002.457  002.349  002.206  002.030  001.922  000.000
04:05:35  171  002.457  002.349  002.207  002.030  001.922  000.000
04:05:37  172  002.456  002.348  002.206  002.029  001.921  000.000
04:05:39  173  002.457  002.348  002.207  002.030  001.922  000.000
04:05:41  174  002.456  002.347  002.206  002.029  001.922  000.000
04:05:43  175  002.456  002.348  002.206  002.030  001.921  000.000
04:05:45  176  002.455  002.348  002.206  002.030  001.922  000.000
04:05:47  177  002.455  002.348  002.207  002.030  001.921  000.000
04:05:49  178  002.455  002.347  002.206  002.030  001.922  000.000
04:05:51  179  002.454  002.347  002.206  002.029  001.921  000.000
04:05:53  180  002.455  002.347  002.206  002.029  001.921  000.000
04:05:55  181  002.454  002.347  002.206  002.029  001.921  000.000
04:05:57  182  002.454  002.346  002.206  002.029  001.921  000.000
04:05:59  183  002.454  002.346  002.206  002.029  001.921  000.000
04:06:01  184  002.454  002.347  002.206  002.030  001.921  000.000
04:06:03  185  002.454  002.347  002.205  002.029  001.921  000.000
04:06:05  186  002.452  002.346  002.205  002.029  001.921  000.000
04:06:07  187  002.453  002.346  002.205  002.029  001.921  000.000
04:06:09  188  002.452  002.346  002.205  002.029  001.921  000.000
04:06:11  189  002.452  002.346  002.205  002.029  001.921  000.000
04:06:13  190  002.452  002.345  002.205  002.029  001.921  000.000
04:06:15  191  002.452  002.346  002.205  002.029  001.921  000.000
04:06:17  192  002.452  002.345  002.205  002.029  001.921  000.000
04:06:19  193  002.452  002.345  002.205  002.029  001.921  000.000
04:06:21  194  002.452  002.345  002.205  002.029  001.921  000.000
04:06:23  195  002.451  002.345  002.205  002.029  001.921  000.000
04:06:25  196  002.451  002.345  002.205  002.029  001.921  000.000
04:06:27  197  002.451  002.345  002.205  002.029  001.921  000.000
04:06:29  198  002.450  002.344  002.204  002.028  001.921  000.000
04:06:31  199  002.450  002.344  002.204  002.029  001.922  000.000
04:06:33  200  002.450  002.344  002.205  002.029  001.922  000.000
04:06:35  201  002.450  002.344  002.204  002.029  001.922  000.000
04:06:37  202  002.450  002.344  002.204  002.029  001.922  000.000
04:06:39  203  002.450  002.344  002.204  002.029  001.922  000.000
04:06:41  204  002.449  002.344  002.204  002.029  001.922  000.000
04:06:43  205  002.449  002.344  002.204  002.029  001.922  000.000
04:06:45  206  002.449  002.344  002.204  002.029  001.922  000.000
04:06:47  207  002.449  002.344  002.204  002.029  001.922  000.000
04:06:49  208  002.449  002.343  002.204  002.028  001.922  000.000
