start of data file.
siteName: HF-751-16A
Probe serial Number: 0

Date    Meas#    T1(B)       T2       T3       T4    T5(T)        H
-------------------------------------------------------------------
06:58:38    1  001.817  001.867  001.884  001.858  001.907  000.000
06:58:40    2  001.816  001.867  001.884  001.858  001.907  000.000
06:58:42    3  001.816  001.866  001.884  001.858  001.907  000.000
06:58:44    4  001.816  001.867  001.884  001.858  001.907  000.000
06:58:46    5  001.816  001.866  001.884  001.858  001.907  000.000
06:58:48    6  001.816  001.866  001.883  001.858  001.906  000.000
06:58:50    7  001.816  001.866  001.884  001.857  001.906  000.000
06:58:52    8  001.816  001.866  001.884  001.857  001.907  000.000
06:58:54    9  001.816  001.866  001.884  001.857  001.906  000.000
06:58:56   10  001.818  001.866  001.884  001.857  001.906  000.000
06:58:58   11  001.816  001.866  001.884  001.857  001.906  000.000
06:59:00   12  001.816  001.866  001.884  001.857  001.906  000.000
06:59:02   13  001.816  001.866  001.884  001.857  001.906  000.000
06:59:04   14  001.816  001.866  001.884  001.857  001.906  000.000
06:59:06   15  001.816  001.866  001.883  001.857  001.906  000.000
06:59:08   16  001.816  001.866  001.883  001.857  001.906  000.000
06:59:10   17  001.816  001.866  001.883  001.857  001.906  000.000
06:59:12   18  001.816  001.866  001.883  001.857  001.906  000.000
06:59:14   19  001.816  001.866  001.883  001.857  001.906  000.000
06:59:16   20  001.816  001.866  001.883  001.857  001.906  000.000
06:59:18   21  001.816  001.866  001.883  001.857  001.906  000.000
06:59:20   22  001.816  001.866  001.883  001.857  001.906  000.000
06:59:22   23  001.816  001.866  001.884  001.857  001.906  000.000
06:59:24   24  001.816  001.866  001.883  001.857  001.906  000.000
06:59:26   25  001.816  001.866  001.883  001.857  001.906  000.000
06:59:28   26  001.816  001.866  001.883  001.857  001.906  000.000
06:59:30   27  001.816  001.866  001.883  001.857  001.906  000.000
06:59:32   28  001.817  001.867  001.884  001.858  001.907  000.000
06:59:34   29  001.817  001.867  001.884  001.858  001.907  000.000
06:59:36   30  001.816  001.866  001.883  001.857  001.906  000.000
06:59:38   31  001.816  001.866  001.883  001.857  001.907  000.000
06:59:40   32  001.816  001.866  001.883  001.857  001.907  000.000
06:59:42   33  001.816  001.866  001.883  001.857  001.907  000.000
06:59:44   34  001.816  001.866  001.883  001.857  001.907  000.000
06:59:46   35  001.816  001.866  001.883  001.857  001.907  000.000
06:59:48   36  001.816  001.866  001.883  001.858  001.907  000.000
